source_a,source_b,comm_a,comm_b,jaccard
ZZ,ZZ,Z9DY,Z9DY,1.0
ZZ,KK,Z9DY,KKST,0.42857142857142855
ZZ,FS,Z9DY,FIT THE SIZE,0.48148148148148145
ZZ,HA,Z9DY,HAO,0.25
ZZ,GO,Z9DY,GOCD,0.14285714285714285
KK,ZZ,KKST,Z9DY,0.42857142857142855
KK,KK,KKST,KKST,1.0
KK,FS,KKST,FIT THE SIZE,0.3333333333333333
KK,HA,KKST,HAO,0.1111111111111111
KK,GO,KKST,GOCD,0.17647058823529413
FS,ZZ,FIT THE SIZE,Z9DY,0.48148148148148145
FS,KK,FIT THE SIZE,KKST,0.3333333333333333
FS,FS,FIT THE SIZE,FIT THE SIZE,1.0
FS,HA,FIT THE SIZE,HAO,0.25
FS,GO,FIT THE SIZE,GOCD,0.25
HA,ZZ,HAO,Z9DY,0.25
HA,KK,HAO,KKST,0.1111111111111111
HA,FS,HAO,FIT THE SIZE,0.25
HA,HA,HAO,HAO,1.0
HA,GO,HAO,GOCD,0.14285714285714285
GO,ZZ,GOCD,Z9DY,0.14285714285714285
GO,KK,GOCD,KKST,0.17647058823529413
GO,FS,GOCD,FIT THE SIZE,0.25
GO,HA,GOCD,HAO,0.14285714285714285
GO,GO,GOCD,GOCD,1.0
